Dataset	Dimensions	Train size	Test size	Neighbors	Distance	Download URL
DEEP1B	96	9,990,000	10,000	100	Angular	http://ann-benchmarks.com/deep-image-96-angular.hdf5 (3.6GB)
Fashion-MNIST	784	60,000	10,000	100	Euclidean	http://ann-benchmarks.com/fashion-mnist-784-euclidean.hdf5 (217MB)
GIST	960	1,000,000	1,000	100	Euclidean	http://ann-benchmarks.com/gist-960-euclidean.hdf5 (3.6GB)
GloVe (25)	25	1,183,514	10,000	100	Angular	http://ann-benchmarks.com/glove-25-angular.hdf5 (121MB)
GloVe (50)	50	1,183,514	10,000	100	Angular	http://ann-benchmarks.com/glove-50-angular.hdf5 (235MB)
GloVe (100)	100	1,183,514	10,000	100	Angular	http://ann-benchmarks.com/glove-100-angular.hdf5 (463MB)
GloVe (200)	200	1,183,514	10,000	100	Angular	http://ann-benchmarks.com/glove-200-angular.hdf5 (918MB)
Kosarak	27,983	74,962	500	100	Jaccard	http://ann-benchmarks.com/kosarak-jaccard.hdf5 (33MB)
MNIST	784	60,000	10,000	100	Euclidean	http://ann-benchmarks.com/mnist-784-euclidean.hdf5 (217MB)
MovieLens-10M	65,134	69,363	500	100	Jaccard	http://ann-benchmarks.com/movielens10m-jaccard.hdf5 (63MB)
NYTimes	256	290,000	10,000	100	Angular	http://ann-benchmarks.com/nytimes-256-angular.hdf5 (301MB)
SIFT	128	1,000,000	10,000	100	Euclidean	http://ann-benchmarks.com/sift-128-euclidean.hdf5 (501MB)
Last.fm	65	292,385	50,000	100	Angular	http://ann-benchmarks.com/lastfm-64-dot.hdf5 (135MB)
COCO-I2I	512	113,287	10,000	100	Angular	https://github.com/fabiocarrara/str-encoders/releases/download/v0.1.3/coco-i2i-512-angular.hdf5 (136MB)
COCO-T2I	512	113,287	10,000	100	Angular	https://github.com/fabiocarrara/str-encoders/releases/download/v0.1.3/coco-t2i-512-angular.hdf5 (136MB)
